SP-[1] Epoch: 84/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.26% | Val: Loss nan  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 85/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.82% | Val: Loss -0.40  Acc(top1) 46.86% | HA 0.00@0

SP-[1] Epoch: 86/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.93% | Val: Loss nan  Acc(top1) 58.94% | HA 0.00@0

SP-[1] Epoch: 87/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.50% | Val: Loss -0.29  Acc(top1) 56.28% | HA 0.00@0

SP-[1] Epoch: 88/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.60% | Val: Loss -0.38  Acc(top1) 47.58% | HA 0.00@0

SP-[1] Epoch: 89/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 87.61% | Val: Loss nan  Acc(top1) 60.39% | HA 0.00@0

SP-[1] Epoch: 90/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 87.61% | Val: Loss nan  Acc(top1) 62.08% | HA 0.00@0

SP-[1] Epoch: 91/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.60% | Val: Loss nan  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 92/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.38% | Val: Loss nan  Acc(top1) 62.32% | HA 0.00@0

SP-[1] Epoch: 93/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.95% | Val: Loss nan  Acc(top1) 54.35% | HA 0.00@0

SP-[1] Epoch: 94/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.49% | Val: Loss nan  Acc(top1) 54.83% | HA 0.00@0

SP-[1] Epoch: 95/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.95% | Val: Loss nan  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 96/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.83% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 97/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.38% | Val: Loss nan  Acc(top1) 62.08% | HA 0.00@0

SP-[1] Epoch: 98/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.10  Acc 87.28% | Val: Loss -0.24  Acc(top1) 59.18% | HA 0.00@0

SP-[1] Epoch: 99/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 87.61% | Val: Loss nan  Acc(top1) 52.17% | HA 0.00@0

SP-[1] Epoch: 100/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.72% | Val: Loss nan  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 101/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.71% | Val: Loss nan  Acc(top1) 56.76% | HA 0.00@0

SP-[1] Epoch: 102/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.72% | Val: Loss nan  Acc(top1) 50.48% | HA 0.00@0

SP-[1] Epoch: 103/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.61% | Val: Loss nan  Acc(top1) 61.84% | HA 0.00@0

SP-[1] Epoch: 104/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.05% | Val: Loss -0.28  Acc(top1) 57.49% | HA 0.00@0

SP-[1] Epoch: 105/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.60% | Val: Loss nan  Acc(top1) 58.70% | HA 0.00@0

SP-[1] Epoch: 106/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.83% | Val: Loss nan  Acc(top1) 50.48% | HA 0.00@0

SP-[1] Epoch: 107/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.09  Acc 85.94% | Val: Loss nan  Acc(top1) 59.66% | HA 0.00@0

SP-[1] Epoch: 108/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.17% | Val: Loss nan  Acc(top1) 53.86% | HA 0.00@0

SP-[1] Epoch: 109/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.17% | Val: Loss nan  Acc(top1) 61.84% | HA 0.00@0

SP-[1] Epoch: 110/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 87.05% | Val: Loss nan  Acc(top1) 61.35% | HA 0.00@0

SP-[1] Epoch: 111/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.38% | Val: Loss nan  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 112/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.61% | Val: Loss nan  Acc(top1) 60.39% | HA 0.00@0

SP-[1] Epoch: 113/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.10  Acc 86.27% | Val: Loss nan  Acc(top1) 62.80% | HA 0.00@0

SP-[1] Epoch: 114/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.15% | Val: Loss nan  Acc(top1) 57.49% | HA 0.00@0

SP-[1] Epoch: 115/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.93% | Val: Loss nan  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 116/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.83% | Val: Loss nan  Acc(top1) 61.11% | HA 0.00@0

SP-[1] Epoch: 117/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.10  Acc 87.50% | Val: Loss nan  Acc(top1) 58.70% | HA 0.00@0

